Filename,Title,Usecase,Status
moist_air___psychrometric_chart_for_high_temperatu.md,Moist Air - Psychrometric Chart for High Temperatures at Sea Level,datatable,done
moist_air___psychrometric_chart_for_low_temperatur.md,Moist Air - Psychrometric Chart for Low Temperatures at Sea Level,none,pending
moist_air___psychrometric_chart_for_normal_tempera.md,Moist Air - Psychrometric Chart for Normal Temperatures at 7500 Feet Altitude,datatable,done
moist_air___psychrometric_online_calculator.md,Moist Air - Psychrometric Online Calculator,none,pending
moist_air___psychrometric_table_for_pressure_29_92.md,Moist Air - Psychrometric Table for Pressure 29.92 inHg,calculator,done
moist_air___psychrometric_terms.md,Moist Air - Psychrometric Terms,chart,done
moist_air___relative_humidity.md,Moist Air - Relative Humidity,none,pending
moist_air___specific_volume.md,Moist Air - Specific Volume,none,pending
moist_air___specific_vs__relative_humidity.md,Moist Air - Specific vs. Relative Humidity,datatable,done
moist_air___the_mollier_diagram.md,Moist Air - the Mollier Diagram,none,pending
moist_air___transforming_the_mollier_diagram_to_a_.md,Moist Air - Transforming the Mollier Diagram to a Psychrometric Chart - or vice versa,none,pending
moist_air___vapor_pressure.md,Moist Air - Vapor Pressure,datatable,done
moist_air___water_vapor_and_saturation_pressure.md,Moist Air - Water Vapor and Saturation Pressure,none,pending
moist_air___weight_of_water_vapor.md,Moist Air - Weight of Water Vapor,datatable,done
moisture_content_calculation.md,Moisture Content Calculation,none,pending
moisture_transport_through_walls_and_roofs.md,Moisture Transport through Walls and Roofs,none,pending
mole_and_the_avagadro_s_number.md,Mole and the Avagadro's Number,datatable,done
molecular_weight_of_substances.md,Molecular Weight of Substances,datatable,done
mollier_chart_for_water___imperial_units.md,Mollier Chart for Water - Imperial Units,datatable,done
mollier_chart_for_water___metric_units.md,Mollier Chart for Water - Metric Units,datatable,done
molybdenum_binary_eutectic_alloys___melting_points.md,Molybdenum Binary Eutectic Alloys - Melting Points,datatable,done
moody_diagram.md,Moody Diagram,calculator,done
morse_code_alphabet.md,Morse Code Alphabet,calculator-table,done
mortar_types.md,Mortar Types,calculator,done
motor_oils___dynamic_viscosities.md,Motor Oils - Dynamic Viscosities,none,pending
motors___speed_vs__pulley_diameter.md,Motors - Speed vs. Pulley Diameter,datatable,done
movement_ratio.md,Movement Ratio,calculator-table,done
mss___manufacturers_standardization_society_of_the.md,MSS - Manufacturers Standardization Society of the Valve and Fittings Industry,none,pending
nace_international.md,NACE International,none,pending
nails_and_spikes___withdrawal_force.md,Nails and Spikes - Withdrawal Force,calculator-chart,done
naming_inorganic_binary_compounds.md,Naming Inorganic Binary Compounds,chart-table,done
naming_of_organic_compounds.md,Naming of Organic Compounds,calculator-table,done
national_standards_organizations.md,National Standards Organizations,chart-table,done
natural_gas___equipment_consumption.md,Natural Gas - Equipment Consumption,datatable,done
natural_gas___meter_capacities.md,Natural Gas - Meter Capacities,calculator,done
natural_gas___pipe_sizing_calculator.md,Natural Gas - Pipe Sizing Calculator,chart-table,done
natural_gas_apartment_consumption_vs__no__of_apart.md,Natural Gas Apartment Consumption vs. no. of Apartments,chart,done
natural_gas_glossary.md,Natural Gas Glossary,datatable,done
natural_gas_laboratory_consumption_vs__no__of_outl.md,Natural Gas Laboratory Consumption vs. no. of Outlets,datatable,done
natural_gas_pipes___low_pressure_capacities_vs__si.md,Natural Gas Pipes - Low Pressure Capacities vs. Size,calculator-table,done
natural_gas_pipes___minimum_cover.md,Natural Gas Pipes - Minimum Cover,datatable,done
natural_gas_piping___sizing_of_low_pressure_pipes_.md,Natural Gas Piping - Sizing of Low Pressure Pipes vs. Capacity,none,pending
natural_gas_piping___sizing_vs__capacity.md,Natural Gas Piping - Sizing vs. Capacity,calculator,done
navier_stokes_equations.md,Navier-Stokes Equations,chart-table,done
ndt___non_destructive_testing.md,NDT - Non Destructive Testing,datatable,done
nec___national_electrical_code.md,NEC - National Electrical Code,calculator-table,done
nema___national_electrical_manufacturers_associati.md,NEMA - National Electrical Manufacturers Association,datatable,done
nema_a__b__c_and_d_electrical_motor_design.md,"NEMA A, B, C and D Electrical Motor Design",calculator,done
nema_and_iec_enclosure_classifications.md,NEMA and IEC Enclosure Classifications,calculator-chart,done
nema_enclosure_standards_for_electric_motors.md,NEMA Enclosure Standards for Electric Motors,calculator,done
nema_insulation_classes.md,NEMA Insulation Classes,chart-table,done
nema_starters.md,Nema Starters,calculator,done
net_income.md,Net Income,datatable,done
net_present_worth__npw__of_a_cash_stream.md,Net Present Worth (NPW) of a Cash Stream,datatable,done
new_vs__old_car_costs__a_comprehensive_cost_compar.md,New vs. Old Car Costs: A Comprehensive Cost Comparison,datatable,done
nfpa___national_fire_protection_association.md,NFPA - National Fire Protection Association,calculator,done
nickel_binary_eutectic_alloys___melting_points.md,Nickel Binary Eutectic Alloys - Melting Points,chart,done
nickel_chromium_heater_wire___temperature_rise_vs_.md,Nickel-Chromium Heater Wire - Temperature Rise vs. Amps,datatable,done
nist___national_institute_of_standards_and_technol.md,NIST - National Institute of Standards and Technology,chart-table,done
nitrogen____enthalpy__internal_energy_and_entropy_.md,"Nitrogen -  Enthalpy, Internal Energy and Entropy vs. Temperature",datatable,done
nitrogen___dynamic_and_kinematic_viscosity_vs__tem.md,Nitrogen - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,calculator,done
nitrogen___prandtl_number_vs__temperature_and_pres.md,Nitrogen - Prandtl number vs. Temperature and Pressure,datatable,done
nitrogen___thermal_conductivity_vs__temperature_an.md,Nitrogen - Thermal Conductivity vs. Temperature and Pressure,datatable,done
nitrogen___thermal_diffusivity_vs__temperature_and.md,Nitrogen - Thermal Diffusivity vs. Temperature and Pressure,calculator,done
nitrogen___thermophysical_properties.md,Nitrogen - Thermophysical Properties,datatable,done
nitrogen__n___density___specific_weight__temperatu.md,Nitrogen (N₂) Density & Specific Weight: Temperature & Pressure Data and Calculator,datatable,done
nitrogen_gas___specific_heat_vs__temperature.md,Nitrogen Gas - Specific Heat vs. Temperature,calculator,done
nitrogen_oxides__nox__emission_from_fuels.md,Nitrogen Oxides (NOx) Emission from Fuels,calculator-table,done
noise___acceptable_dba_level.md,Noise - Acceptable dBA Level,chart-table,done
noise___epa_protective_levels.md,Noise - EPA Protective Levels,datatable,done
noise___maximum_daily_dose_level.md,Noise - Maximum Daily Dose Level,calculator,done
noise___recommended_exposure_limits__rel_.md,Noise - Recommended Exposure Limits (REL),chart-table,done
noise_and_attenuation.md,Noise and Attenuation,datatable,done
noise_criterion__nc____free_online_calculator.md,Noise Criterion (NC) - Free Online Calculator,calculator,done
noise_criterion__nc__levels__definitions__standard.md,"Noise Criterion (NC) Levels: Definitions, Standards & Calculator",chart,done
noise_criterion_vs__noise_rating_and_db_a_.md,Noise Criterion vs. Noise Rating and dB(A),calculator,done
noise_exposure___niosh_permissible_levels_and_dura.md,Noise Exposure - NIOSH Permissible Levels and Duration,chart,done
noise_from_machines___enclosures_and_sound_pressur.md,Noise from Machines - Enclosures and Sound Pressure Level Reductions,calculator,done
noise_generated_by_fans___blade_pass_frequency__bp.md,Noise generated by Fans - Blade Pass Frequency (BPF),calculator-chart,done
noise_generated_by_road_traffic.md,Noise generated by Road Traffic,datatable,done
noise_generated_in_air_ducts.md,Noise generated in Air Ducts,datatable,done
noise_generated_in_blade_dampers.md,Noise generated in Blade Dampers,chart-table,done
noise_rating__nr____free_online_calculator.md,Noise Rating (NR) - Free Online Calculator,datatable,done
non_ideal_gas___van_der_waal_s_equation_and_consta.md,Non-ideal gas - Van der Waal's Equation and Constants,calculator,done
normal_flange_i_beams.md,Normal Flange I-Beams,chart,done
notes__octaves_and_frequencies.md,"Notes, Octaves and Frequencies",none,pending
nozzles.md,Nozzles,datatable,done
nozzles___water_discharge_capacities.md,Nozzles - Water Discharge Capacities,datatable,done
nps__nominal_pipe_size__guide__dimensions__charts_.md,"NPS (Nominal Pipe Size) Guide: Dimensions, Charts & Specifications",datatable,done
nr___the_noise_rating_curve.md,NR - the Noise Rating Curve,calculator,done
numbers___squares__cubes_and_roots.md,"Numbers - Squares, Cubes and Roots",calculator,done
numbers___standard_form__scientific_and_engineerin.md,"Numbers - Standard Form, Scientific and Engineering Notation",calculator-chart,done
numerical_constants.md,Numerical Constants,none,pending
nylon_ropes___strengths.md,Nylon Ropes - Strengths,datatable,done
oblique_triangle.md,Oblique Triangle,datatable,done
octane_liquid___thermal_properties.md,Octane Liquid - Thermal Properties,chart-table,done
octave_band_frequencies.md,Octave Band Frequencies,none,pending
ohm_s_law.md,Ohm's Law,none,pending
oil_filled_tanks___heat_loss.md,Oil Filled Tanks - Heat Loss,datatable,done
oil_fuels___viscosities_vs__temperatures.md,Oil Fuels - Viscosities vs. Temperatures,datatable,done
oil_lubrication___temperature_limits.md,Oil Lubrication - Temperature Limits,datatable,done
oil_pipes___head_loss.md,Oil Pipes - Head Loss,datatable,done
oil_pipes___heat_loss.md,Oil Pipes - Heat Loss,datatable,done
oil_pipes___recommended_flow_velocities.md,Oil Pipes - Recommended Flow Velocities,datatable,done
oil_viscosity_converter.md,Oil Viscosity Converter,calculator,done
oils___melting_points.md,Oils - Melting points,datatable,done
online_wire_gauge___awg___calculator.md,Online Wire Gauge - AWG - Calculator,calculator,done
open_horizontal_pipes___discharge_length_vs__volum.md,Open Horizontal Pipes - Discharge Length vs. Volume Flow,none,pending
operating_profit.md,Operating Profit,calculator,done
optical_distance_law.md,Optical Distance Law,calculator-chart,done
optimal_combustion_processes___fuel_vs__excess_air.md,Optimal Combustion Processes - Fuel vs. Excess Air,datatable,done
organic_nitrogen_compounds___physical_data.md,Organic Nitrogen Compounds - Physical Data,calculator,done
organic_sulfur_compounds___densities.md,Organic Sulfur Compounds - Densities,datatable,done
organic_sulfur_compounds___physical_data.md,Organic Sulfur Compounds - Physical Data,chart-table,done
orifice__nozzle__and_venturi_flow_meters__principl.md,"Orifice, Nozzle, and Venturi Flow Meters: Principles, Calculations & Data",datatable,done
orifice_air_discharge_vs__pressure.md,Orifice Air Discharge vs. Pressure,calculator,done
orifices___natural_gas_capacity.md,Orifices - Natural Gas Capacity,datatable,done
ounces_and_pounds_vs__grams.md,Ounces and Pounds vs. Grams,datatable,done
outdoor_ambient_sound_pressure_levels.md,Outdoor Ambient Sound Pressure Levels,none,pending
outdoor_temperatures_and_relative_humidity___u_s__.md,Outdoor Temperatures and Relative Humidity - U.S. Winter and Summer Conditions,none,pending
overall_heat_transfer_coefficient__definitions__va.md,"Overall Heat Transfer Coefficient: Definitions, Values & Applications",chart-table,done
oxygen___density_and_specific_weight_vs__temperatu.md,Oxygen - Density and Specific Weight vs. Temperature and Pressure,none,pending
oxygen___dynamic_and_kinematic_viscosity_vs__tempe.md,Oxygen - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,datatable,done
oxygen___enthalpy__internal_energy_and_entropy_vs_.md,"Oxygen - Enthalpy, Internal Energy and Entropy vs. Temperature",datatable,done
oxygen___solubility_in_fresh_and_sea_water_vs__tem.md,Oxygen - Solubility in Fresh and Sea Water vs. Temperature,datatable,done
oxygen___thermophysical_properties.md,Oxygen - Thermophysical properties,datatable,done
oxygen_gas___specific_heat_vs__temperature.md,Oxygen Gas - Specific Heat vs. Temperature,calculator,done
p_id___piping_and_instrumentation_diagram.md,P&ID - Piping and Instrumentation Diagram,calculator-table,done
p_id_diagram___online_drawing_tool.md,P&ID Diagram - Online Drawing Tool,calculator-chart,done
paper_drafting_sizes___comparing_iso_and_u_s__draw.md,Paper Drafting Sizes - Comparing ISO and U.S. Drawing Sheets,chart,done
paper_drafting_sizes___iso_216_series_a__b_and_c.md,"Paper Drafting Sizes - ISO 216 series A, B and C",datatable,done
paper_sizes___commonly_used_in_u_s__offices.md,Paper Sizes - commonly used in U.S. Offices,calculator-chart,done
paper_sizes___imperial.md,Paper Sizes - Imperial,datatable,done
paraffins_and_alkanes___combustion_properties.md,Paraffins and Alkanes - Combustion Properties,calculator,done
particle_sizes.md,Particle Sizes,calculator,done
parts_per_million___ppm.md,Parts per Million - ppm,calculator-table,done
pasteurization___temperatures_and_time.md,Pasteurization - Temperatures and Time,calculator-table,done
payback_time.md,Payback Time,datatable,done
pe_polyethylene___chemical_resistance.md,PE Polyethylene - Chemical Resistance,datatable,done
pendulum.md,Pendulum,calculator-table,done
pentane___density_and_specific_weight_vs__temperat.md,Pentane - Density and Specific Weight vs. Temperature and Pressure,calculator,done
pentane___thermophysical_properties.md,Pentane - Thermophysical Properties,calculator,done
percentage.md,Percentage,datatable,done
periodic_table_of_elements.md,Periodic Table of Elements,datatable,done
perlite_insulation.md,Perlite Insulation,none,pending
permeability.md,Permeability,calculator-table,done
perpetuities.md,Perpetuities,none,pending
petroleum_products___average_boiling_points.md,Petroleum Products - Average Boiling Points,calculator-chart,done
petroleum_products___standard_test_methods__astm_a.md,Petroleum Products - Standard Test Methods (ASTM and others) and Specifications,calculator,done
pfd___process_flow_diagram.md,PFD - Process Flow Diagram,calculator-chart,done
pfd___process_flow_diagram___online_drawing_tool.md,PFD - Process Flow Diagram - Online Drawing Tool,none,pending
ph___basic__alkaline__vs__acidic.md,pH - Basic (alkaline) vs. Acidic,none,pending
ph_in_human_biological_material.md,pH in Human Biological Material,datatable,done
phenols__alcohols_and_carboxylic_acids___pka_value.md,"Phenols, Alcohols and Carboxylic Acids - pKa Values",datatable,done
phonetic_alphabet.md,Phonetic Alphabet,datatable,done
physical_constants.md,Physical Constants,calculator,done
physiology___activity_and_metabolic_rates.md,Physiology - Activity and Metabolic Rates,calculator-table,done
pipe_and_duct_systems___total_head_loss.md,Pipe and Duct Systems - Total Head Loss,none,pending
pipe_and_tube_system_components___minor__dynamic__.md,Pipe and Tube System Components - Minor (Dynamic) Loss Coefficients,calculator,done
pipe_velocity_calculator_with_flow_data___charts.md,Pipe Velocity Calculator with Flow Data & Charts,datatable,done
pipes___bare_surface_heat_loss.md,Pipes - Bare Surface Heat Loss,datatable,done
pipes___fractional_equivalents.md,Pipes - Fractional Equivalents,datatable,done
pipes___insulated_heat_loss_diagrams.md,Pipes - Insulated Heat Loss Diagrams,datatable,done
pipes___relative_capacity.md,Pipes - Relative Capacity,none,pending
pipes_and_cylinders___conductive_heat_loss.md,Pipes and Cylinders - Conductive Heat Loss,calculator,done
pipes_and_tubes___temperature_expansion.md,Pipes and Tubes - Temperature Expansion,chart-table,done
pipes_submerged_in_oil_or_fat___heat_emission.md,Pipes Submerged in Oil or Fat - Heat Emission,chart-table,done
pipes_submerged_in_water___heat_emission.md,Pipes Submerged in Water - Heat Emission,datatable,done
piping___recommended_insulation_thickness.md,Piping - Recommended Insulation Thickness,chart,done
piping_codes_and_standards.md,Piping Codes and Standards,calculator,done
piping_materials___temperature_expansion_coefficie.md,Piping Materials - Temperature Expansion Coefficients,datatable,done
piston_engines___compression_ratios.md,Piston Engines - Compression Ratios,chart-table,done
piston_engines___displacement.md,Piston Engines - Displacement,calculator,done
plastics___abbreviations.md,Plastics - Abbreviations,calculator-chart,done
plastics___recycling_codes_and_labeling.md,Plastics - Recycling Codes and Labeling,calculator,done
plastics___thermal_conductivity_coefficients.md,Plastics - Thermal Conductivity Coefficients,datatable,done
plato_and_brix_vs__specific_gravity.md,Plato and Brix vs. Specific Gravity,calculator,done
plumbing_codes.md,Plumbing Codes,datatable,done
pnc___the_preferred_noise_criterion.md,PNC - the Preferred Noise Criterion,datatable,done
pneumatic_cylinder___acting_velocity.md,Pneumatic Cylinder - Acting Velocity,calculator,done
pneumatic_cylinder___excerted_force_vs__pressure.md,Pneumatic Cylinder - Excerted Force vs. Pressure,calculator-chart,done
pneumatic_powder_and_solid_transport_systems.md,Pneumatic Powder and Solid Transport Systems,calculator,done
pneumatic_powder_transport.md,Pneumatic Powder Transport,calculator,done
pneumatic_transport___solids_and_particle_size.md,Pneumatic Transport - Solids and Particle Size,datatable,done
pneumatic_transport_and_conveying___carrying_veloc.md,Pneumatic Transport and Conveying - Carrying Velocities,calculator,done
pneumatics___transport_of_solids_and_separator_typ.md,Pneumatics - Transport of Solids and Separator Types,calculator,done
poiseuille_s_formula.md,Poiseuille's Formula,calculator,done
poisson_s_ratio___definition__values_for_materials.md,"Poisson's Ratio – Definition, Values for Materials, and Applications",calculator,done
poisson_s_ratios_metals.md,Poisson's Ratios Metals,chart,done
polar_vs__cartesian_coordinates.md,Polar vs. Cartesian Coordinates,calculator,done
polyester___chemical_resistance.md,Polyester - Chemical Resistance,datatable,done
polyester_polyolefin_ropes___strengths.md,Polyester Polyolefin Ropes - Strengths,calculator-table,done
polyester_ropes___strengths.md,Polyester Ropes - Strengths,calculator-table,done
polymers___physical_properties.md,Polymers - Physical Properties,calculator-table,done
polymers___specific_heats.md,Polymers - Specific Heats,none,pending
polynomial_equation_of_nth_degree.md,Polynomial Equation of <em>n</em>th Degree,none,pending
polyphase_motors___voltage_imbalance_vs__derating_.md,Polyphase Motors - Voltage Imbalance vs. Derating Factor,none,pending
polypropylene_fiber_ropes___strengths.md,Polypropylene Fiber Ropes - Strengths,calculator,done
polyurethane___chemical_resistance.md,Polyurethane - Chemical Resistance,datatable,done
polyurethane_insulation.md,Polyurethane Insulation,calculator,done
porosity.md,Porosity,calculator,done
positive_displacement_pumps.md,Positive Displacement Pumps,calculator,done
potassium___thermophysical_properties_vs__temperat.md,Potassium - Thermophysical Properties vs. Temperature,calculator-chart,done
potential_energy___hydropower.md,Potential Energy - Hydropower,calculator-chart,done
power.md,Power,calculator-chart,done
power_gained_by_fluid_from_pump_or_fan.md,Power Gained by Fluid from Pump or Fan,chart,done
power_installations___din_vde_standards.md,Power Installations - DIN VDE Standards,chart-table,done
power_plants___performance_efficiencies.md,Power Plants - Performance Efficiencies,calculator-chart,done
power_wiring___color_codes.md,Power Wiring - Color Codes,calculator-chart,done
pp_polypropylene___chemical_resistance.md,PP Polypropylene - Chemical Resistance,datatable,done
prandtl_number.md,Prandtl Number,datatable,done
precious_metals___karat_unit_of_fineness.md,Precious Metals - Karat Unit of Fineness,chart,done
predicted_mean_vote_index__pmv_.md,Predicted Mean Vote Index (PMV),none,pending
preferred_noise_criterion__pnc____calculator.md,Preferred Noise Criterion (PNC) - Calculator,datatable,done
prefixes_for_binary_multiplies.md,Prefixes for Binary Multiplies,none,pending
present_value.md,Present Value,none,pending
pressure.md,Pressure,datatable,done
pressure_coefficient.md,Pressure Coefficient,datatable,done
pressure_energy.md,Pressure Energy,datatable,done
pressure_gradient_diagrams.md,Pressure Gradient Diagrams,chart-table,done
pressure_loss_in_pipes_connected_in_series_or_para.md,Pressure Loss in Pipes connected in Series or Parallel,calculator,done
pressure_ratings_of_pipes_and_fittings.md,Pressure Ratings of Pipes and Fittings,calculator,done
pressure_to_head_unit_converter.md,Pressure to Head Unit Converter,calculator,done
pressure_units___online_converter.md,Pressure Units - Online Converter,calculator-chart,done
pressure_units_converter.md,Pressure Units Converter,calculator,done
prime_numbers.md,Prime Numbers,calculator,done
process_control___common_terms.md,Process Control - Common Terms,datatable,done
process_control_systems_documentation.md,Process Control Systems Documentation,calculator,done
process_controllers___p__pi___pid.md,"Process Controllers - P, PI & PID",calculator-chart,done
process_instrumentation___isa_codes.md,Process Instrumentation - ISA Codes,calculator,done
projectile_range.md,Projectile Range,none,pending
propagation_of_outdoor_sound___partial_barriers.md,Propagation of Outdoor Sound - Partial Barriers,calculator,done
propagation_of_sound_indoors___the_room_constant.md,Propagation of Sound Indoors - the Room Constant,calculator,done
propagation_of_sound_outdoors___attenuation_vs__di.md,Propagation of Sound Outdoors - Attenuation vs. Distance,calculator,done
propane___density_and_specific_weight_vs__temperat.md,Propane - Density and Specific Weight vs. Temperature and Pressure,datatable,done
propane___dynamic_and_kinematic_viscosity_vs__temp.md,Propane - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,chart,done
propane___latent_heat_of_vaporization_vs__temperat.md,Propane - Latent Heat of Vaporization vs. Temperature,datatable,done
propane___prandtl_number_vs__temperature_and_press.md,Propane - Prandtl Number vs. Temperature and Pressure,calculator,done
propane___specific_heat_vs__temperature_and_pressu.md,Propane - Specific Heat vs. Temperature and Pressure,datatable,done
propane___thermal_conductivity_vs__temperature_and.md,Propane - Thermal Conductivity vs. Temperature and Pressure,calculator-chart,done
propane___thermal_diffusivity_vs__temperature_and_.md,Propane - Thermal Diffusivity vs. Temperature and Pressure,datatable,done
propane___thermophysical_properties.md,Propane - Thermophysical properties,calculator,done
propane___vapor_pressure_vs__temperature.md,Propane - Vapor Pressure vs. Temperature,calculator,done
propane_air_mixture.md,Propane Air Mixture,datatable,done
propane_butane_mixture___evaporation_pressure.md,Propane Butane Mixture - Evaporation Pressure,calculator-table,done
propane_gas___sizing_of_pipe_lines.md,Propane Gas - Sizing of Pipe Lines,datatable,done
propane_gas_piping___capacity_vs__size.md,Propane Gas Piping - Capacity vs. Size,datatable,done
propane_gas_piping___low_pressure_capacity_vs__siz.md,Propane Gas Piping - Low Pressure Capacity vs. Size,datatable,done
properties_of_saturated_steam___si_units.md,Properties of Saturated Steam - SI Units,calculator,done
property_vs__state.md,Property vs. State,datatable,done
propylene_glycol_based_heat_transfer_fluids.md,Propylene Glycol based Heat-Transfer Fluids,calculator,done
pulleys.md,Pulleys,datatable,done
pulling_an_airplane.md,Pulling an Airplane,none,pending
pump___temperature_rise_vs__volume_flow.md,Pump - Temperature Rise vs. Volume Flow,datatable,done
pump_head_and_pressure__conversion__calculations__.md,"Pump Head and Pressure: Conversion, Calculations, and Charts",datatable,done
pump_power_calculator__calculate_hydraulic_and_sha.md,Pump Power Calculator: Calculate Hydraulic and Shaft Power for Pumps,datatable,done
pumping_water___energy_cost_calculator.md,Pumping Water - Energy Cost Calculator,calculator-table,done
pumps___classifications.md,Pumps - Classifications,chart,done
pumps___npsh__net_positive_suction_head_.md,Pumps - NPSH (Net Positive Suction Head),datatable,done
pumps___parallel_vs__serial_arrangement.md,Pumps - Parallel vs. Serial Arrangement,datatable,done
pumps___specific_speed.md,Pumps - Specific Speed,datatable,done
pumps___suction_head_vs__altitude.md,Pumps - Suction Head vs. Altitude,datatable,done
pumps___suction_specific_speed.md,Pumps - Suction Specific Speed,calculator-table,done
pumps__fans_and_turbines___horsepower.md,"Pumps, Fans and Turbines - Horsepower",datatable,done
pumps_and_fans___energy_equation_and_head_rise.md,Pumps and Fans - Energy Equation and Head Rise,datatable,done
pumps_vs__compressors__blowers_and_fans.md,"Pumps vs. Compressors, Blowers and Fans",calculator,done
pvc_pipes_schedule_40___friction_loss_vs__water_fl.md,PVC Pipes Schedule 40 - Friction Loss vs. Water Flow Diagrams,calculator,done
pvc_polyvinyl_chloride___chemical_resistance.md,PVC Polyvinyl Chloride - Chemical Resistance,calculator,done
pythagorean_theorem.md,Pythagorean Theorem,datatable,done
r22_refrigerant___properties.md,R22 Refrigerant - Properties,calculator-table,done
radians_vs__degrees____definition_and_conversions.md,Radians vs. Degrees -  Definition and Conversions,datatable,done
radiation___surface__emissivity_coefficients.md,Radiation - Surface  Emissivity Coefficients,calculator,done
radiation_heat_transfer.md,Radiation Heat Transfer,datatable,done
radiation_units___becquerel_vs__curie.md,Radiation Units - Becquerel vs. Curie,datatable,done
radioisotopes___half_lives.md,Radioisotopes - Half Lives,calculator-table,done
radius_of_gyration_in_structural_engineering.md,Radius of Gyration in Structural Engineering,datatable,done
rainfall_draining_of_roof_areas_and_vertical_downs.md,Rainfall Draining of Roof Areas and Vertical Downspouts,calculator,done
rainfall_on_roofs_and_gutter_slopes.md,Rainfall on Roofs and Gutter Slopes,calculator,done
rainfall_units_converter.md,Rainfall Units Converter,datatable,done
rankine_efficiency.md,Rankine Efficiency,none,pending
rating_of_air_compressors_and_air_equipment.md,Rating of Air Compressors and Air Equipment,none,pending
ratios_and_proportions.md,Ratios and Proportions,calculator,done
rc___the_room_criteria.md,RC - the Room Criteria,calculator,done
real_numbers_algebra.md,Real Numbers Algebra,calculator,done
rebar___metric_reinforcing_bar.md,Rebar - Metric Reinforcing Bar,calculator,done
rebar___u_s__imperial_reinforcing_bar.md,Rebar - U.S. Imperial Reinforcing Bar,calculator,done
rebars___weights.md,Rebars - Weights,calculator-table,done
rechargeable_batteries___properties_and__life_calc.md,Rechargeable Batteries - Properties and  Life Calculator,calculator,done
recommended_relative_humidity.md,Recommended Relative Humidity,datatable,done
rectangular_tanks___volumes.md,Rectangular Tanks - Volumes,datatable,done
refractive_index_common_liquids__solids_and_gases.md,"Refractive Index common Liquids, Solids and Gases",datatable,done
refrigerants___environmental_properties.md,Refrigerants - Environmental Properties,datatable,done
refrigerants___physical_properties.md,Refrigerants - Physical Properties,calculator,done
regular_polygons.md,Regular Polygons,datatable,done
relative_humidity_in_production_and_process_enviro.md,Relative Humidity in Production and Process Environments,datatable,done
relative_permittivity___the_dielectric_constant.md,Relative Permittivity - the Dielectric Constant,datatable,done
relative_vs__absolute_voltage.md,Relative vs. Absolute Voltage,calculator,done
relief_valves___length_of_vent_pipes.md,Relief Valves - Length of Vent Pipes,datatable,done
removing_heat_with_air.md,Removing Heat with Air,calculator,done
required_room_space_per_person.md,Required Room Space per Person,datatable,done
required_voice_level_at_distance.md,Required Voice Level at Distance,datatable,done
required_water_supply_to_public_buildings.md,Required Water Supply to Public Buildings,datatable,done
resistance_vs__resistivity.md,Resistance vs. Resistivity,datatable,done
resistivity_and_conductivity___temperature_coeffic.md,Resistivity and Conductivity - Temperature Coefficients Common Materials,datatable,done
resistor_standard_values.md,Resistor Standard Values,calculator,done
resistors___color_codes_calculator.md,Resistors - Color Codes Calculator,calculator,done
resistors___letters_and_digit_codes.md,Resistors - Letters and Digit Codes,chart-table,done
restricted_thermal_expansion___force_and_stress.md,Restricted Thermal Expansion - Force and Stress,calculator-table,done
right_angled_triangle.md,Right Angled Triangle,calculator,done
rigid_aluminum_conduits___rac.md,Rigid Aluminum Conduits - RAC,calculator,done
riser_diagrams.md,Riser Diagrams,datatable,done
risk__reliability_and_safety.md,"Risk, Reliability and Safety",chart-table,done
rolling_resistance.md,Rolling Resistance,calculator-chart,done
roman_numerals.md,Roman Numerals,datatable,done
roof_framing.md,Roof Framing,calculator,done
roofing_materials___weights.md,Roofing Materials - Weights,datatable,done
room_sensible_heat_factor___rshf.md,Room Sensible Heat Factor - RSHF,datatable,done
rotating_bodies___stress.md,Rotating Bodies - Stress,calculator,done
rotating_shafts___torque.md,Rotating Shafts - Torque,datatable,done
rubbers_and_elastomers___chemical_resistance.md,Rubbers and Elastomers - Chemical Resistance,datatable,done
sae_multigrade_oils___viscosities_and_densities.md,SAE Multigrade Oils - Viscosities and Densities,datatable,done
safety_relief_valves___capacity_vs__pressure.md,Safety Relief Valves - Capacity vs. Pressure,calculator-chart,done
safety_signals___recommended_colors.md,Safety Signals - Recommended Colors,chart,done
safety_valves_in_gas_and_vapor_systems.md,Safety Valves in Gas and Vapor Systems,datatable,done
salinity_of_water.md,Salinity of Water,chart-table,done
salt_hydrates___melting_points_and_latent_melting_.md,Salt Hydrates - Melting points and Latent Melting Energy,calculator,done
sandpapers___grit_sizes.md,Sandpapers - Grit Sizes,datatable,done
sanitary_drainage_systems___volume_flow.md,Sanitary Drainage Systems - Volume Flow,calculator,done
sanitary_piping___drainage_fixtures_unit_loads.md,Sanitary Piping - Drainage Fixtures Unit Loads,datatable,done
satellites_in_orbit.md,Satellites in Orbit,calculator,done
saturated_ice_and_steam___thermodynamic_properties.md,Saturated Ice and Steam - Thermodynamic Properties,datatable,done
saturated_salt_solutions___controlling_air_humidit.md,Saturated Salt Solutions - Controlling Air Humidity,datatable,done
saturated_steam_properties___engineering_data___ca.md,"Saturated Steam Properties – Engineering Data & Calculations, Imperial Units",none,pending
scales_of_objects.md,Scales of Objects,calculator-table,done
